날짜,종가,시가,고가,저가,거래량
2020-01-02,123750.0,122250.0,123750.0,121543.0,80580000
2020-01-03,122248.0,121565.0,122980.0,121565.0,75288000
2020-01-06,124068.0,121272.0,124121.0,121272.0,81236000
2020-01-07,124327.0,124173.0,124786.0,123361.0,80898000
2020-01-08,123356.0,123752.0,124597.0,122996.0,70160000
2020-01-09,123948.0,124525.0,125042.0,123606.0,63346000
2020-01-10,122782.0,124230.0,124332.0,122576.0,57074000
2020-01-13,123313.0,123313.0,123750.0,122628.0,55616000
2020-01-14,121887.0,122959.0,123040.0,121177.0,68818000
2020-01-15,121404.0,122071.0,122502.0,120952.0,57932000
2020-01-16,122442.0,122771.0,122940.0,121665.0,53190000
2020-01-17,121580.0,122960.0,123009.0,121093.0,79946000
2020-01-21,123358.0,121598.0,123506.0,121272.0,74156000
2020-01-22,123062.0,123625.0,124043.0,122794.0,64326000
2020-01-23,122875.0,122909.0,123227.0,122104.0,49692000
2020-01-24,121379.0,123317.0,123553.0,120453.0,75324000
2020-01-27,119208.0,118664.0,120033.0,118360.0,70570000
2020-01-28,120832.0,120001.0,121149.0,119317.0,56160000
2020-01-29,121142.0,121533.0,122234.0,120947.0,41760000
2020-01-30,121968.0,121142.0,122111.0,120660.0,126548000
2020-01-31,130969.0,133756.0,134033.0,130548.0,311346000
2020-02-03,130674.0,131091.0,133562.0,130416.0,117834000
2020-02-04,133638.0,132348.0,134299.0,131402.0,105786000
2020-02-05,133000.0,135031.0,135031.0,132486.0,87524000
2020-02-06,133675.0,133075.0,134071.0,132017.0,63660000
2020-02-07,135569.0,133138.0,136824.0,132884.0,101906000
2020-02-10,139131.0,135943.0,139241.0,135939.0,101124000
2020-02-11,140232.0,140239.0,142524.0,139267.0,114920000
2020-02-12,140832.0,141041.0,142152.0,140525.0,66686000
2020-02-13,140172.0,139853.0,141502.0,139658.0,60636000
2020-02-14,139194.0,140550.0,140769.0,138608.0,52124000
2020-02-18,140550.0,138551.0,141228.0,138492.0,58912000
2020-02-19,141498.0,141341.0,142469.0,140905.0,51224000
2020-02-20,140382.0,141684.0,141927.0,138710.0,62626000
2020-02-21,136657.0,139668.0,139825.0,136138.0,92926000
2020-02-24,131006.0,130607.0,132962.0,129616.0,130940000
2020-02-25,128623.0,132123.0,132656.0,127689.0,124382000
2020-02-26,129069.0,128462.0,131356.0,127821.0,104492000
2020-02-27,122856.0,126122.0,128770.0,122756.0,162880000
2020-02-28,122820.0,118314.0,123212.0,118086.0,189620000
2020-03-02,127398.0,124303.0,127434.0,121924.0,135234000
2020-03-03,124466.0,128794.0,130161.0,123103.0,150690000
2020-03-04,128824.0,126916.0,128966.0,125314.0,95458000
2020-03-05,125447.0,126032.0,127839.0,124532.0,94964000
2020-03-06,123951.0,122250.0,124589.0,121891.0,105472000
2020-03-09,117400.0,115656.0,121453.0,114836.0,156264000
2020-03-10,123347.0,121981.0,123506.0,118545.0,142666000
2020-03-11,118720.0,121132.0,122010.0,117458.0,112496000
2020-03-12,109315.0,112273.0,115078.0,109210.0,226924000
2020-03-13,116382.0,114426.0,116467.0,109576.0,176194000
2020-03-16,110133.0,107026.0,114716.0,106017.0,178346000
2020-03-17,117871.0,115761.0,121127.0,110138.0,218342000
2020-03-18,119316.0,114100.0,120076.0,113774.0,192904000
2020-03-19,122637.0,121272.0,126814.0,119489.0,207998000
2020-03-20,120365.0,125595.0,127596.0,118712.0,196358000
2020-03-23,124065.0,119169.0,125145.0,118142.0,156170000
2020-03-24,126495.0,127238.0,127466.0,123902.0,142942000
2020-03-25,122957.0,125229.0,127157.0,122953.0,129582000
2020-03-26,127498.0,124010.0,127563.0,123182.0,124426000
2020-03-27,123887.0,125892.0,126474.0,123875.0,107758000
2020-03-30,128050.0,125369.0,128681.0,124685.0,122522000
2020-03-31,127122.0,128076.0,129945.0,126749.0,102472000
2020-04-01,124382.0,126030.0,126811.0,123424.0,82438000
2020-04-02,125108.0,123987.0,125675.0,123228.0,86720000
2020-04-03,124310.0,124607.0,125597.0,123173.0,72198000
2020-04-06,130243.0,126227.0,130304.0,125837.0,115464000
2020-04-07,131156.0,131516.0,132729.0,130245.0,102280000
2020-04-08,133204.0,131769.0,133269.0,131127.0,79546000
2020-04-09,133188.0,133288.0,133856.0,131551.0,92930000
2020-04-13,141410.0,133008.0,142136.0,132878.0,134334000
2020-04-14,148872.0,143471.0,149438.0,142541.0,161744000
2020-04-15,150461.0,147201.0,152136.0,146374.0,137332000
2020-04-16,157014.0,152959.0,160457.0,152242.0,240764000
2020-04-17,154850.0,154676.0,156480.0,151005.0,158600000
2020-04-20,156063.0,155825.0,159413.0,155570.0,115414000
2020-04-21,151793.0,157563.0,158326.0,148634.0,149534000
2020-04-22,154100.0,154459.0,156089.0,153285.0,84244000
2020-04-23,156444.0,156479.0,158059.0,155312.0,101332000
2020-04-24,157146.0,157588.0,157812.0,155306.0,76498000
2020-04-27,154915.0,159297.0,159406.0,154068.0,112912000
2020-04-28,150878.0,154661.0,154752.0,150351.0,105388000
2020-04-29,154701.0,151917.0,155951.0,150612.0,91832000
2020-04-30,161305.0,157774.0,161370.0,156220.0,190692000
2020-05-01,149050.0,152359.0,154031.0,147234.0,195452000
2020-05-04,151003.0,147116.0,151719.0,147116.0,97318000
2020-05-05,151121.0,152568.0,153285.0,150425.0,64850000
2020-05-06,153302.0,151879.0,153706.0,151264.0,62356000
2020-05-07,154368.0,154836.0,154915.0,152771.0,67928000
2020-05-08,155151.0,154664.0,155648.0,153676.0,64132000
2020-05-11,157067.0,154830.0,157762.0,154662.0,65184000
2020-05-12,153673.0,157253.0,157719.0,153546.0,61498000
2020-05-13,154388.0,154315.0,156982.0,152425.0,95658000
2020-05-14,155753.0,153938.0,155917.0,153429.0,72962000
2020-05-15,157118.0,154428.0,157197.0,153635.0,84700000
2020-05-18,158192.0,156764.0,158632.0,155437.0,87144000
2020-05-19,159696.0,158425.0,162022.0,158369.0,86410000
2020-05-20,162866.0,161557.0,163001.0,160866.0,79962000
2020-05-21,159527.0,163000.0,164659.0,159254.0,102288000
2020-05-22,158885.0,160067.0,161034.0,158444.0,57342000
2020-05-26,157905.0,160262.0,160522.0,157397.0,71364000
2020-05-27,157157.0,156805.0,157365.0,151916.0,101138000
2020-05-28,156552.0,155458.0,158890.0,155061.0,63804000
2020-05-29,159243.0,157519.0,159243.0,156363.0,70198000
2020-06-01,161112.0,159610.0,161496.0,159360.0,58578000
2020-06-02,161201.0,160848.0,161274.0,159434.0,50598000
2020-06-03,161592.0,160914.0,162218.0,160468.0,53420000
2020-06-04,160431.0,161528.0,163492.0,159741.0,58974000
2020-06-05,161892.0,159382.0,162260.0,158901.0,66128000
