날짜,종가,시가,고가,저가,거래량
2020-01-02,273553.0,269602.0,273566.0,268976.0,12077100
2020-01-03,272106.0,270202.0,274362.0,269863.0,11188400
2020-01-06,277230.0,269537.0,277465.0,269302.0,17058900
2020-01-07,277830.0,277517.0,279812.0,276122.0,14912400
2020-01-08,280647.0,277752.0,281977.0,277243.0,13475000
2020-01-09,284663.0,283672.0,284768.0,282029.0,12642800
2020-01-10,284350.0,285837.0,286724.0,283516.0,12119400
2020-01-13,289371.0,286358.0,289449.0,285850.0,14463400
2020-01-14,285654.0,288979.0,289984.0,285094.0,13288900
2020-01-15,288380.0,287675.0,289071.0,287063.0,10036500
2020-01-16,289188.0,290231.0,290310.0,287389.0,10015300
2020-01-17,289671.0,289527.0,289866.0,287571.0,15905900
2020-01-21,288758.0,289697.0,289970.0,285732.0,14275800
2020-01-22,288601.0,289892.0,290466.0,288549.0,12212800
2020-01-23,286567.0,287858.0,288823.0,285928.0,11195000
2020-01-24,284194.0,287923.0,289201.0,281807.0,11905800
2020-01-27,280190.0,277882.0,281742.0,277100.0,13810700
2020-01-28,283998.0,281847.0,285237.0,278430.0,13413800
2020-01-29,291092.0,288758.0,292357.0,284859.0,33181300
2020-01-30,273227.0,269315.0,275705.0,266994.0,48775500
2020-01-31,263291.0,271793.0,272132.0,262182.0,31359900
2020-02-03,266264.0,265286.0,267503.0,264060.0,15495600
2020-02-04,273618.0,269432.0,274622.0,267581.0,19628900
2020-02-05,273983.0,277113.0,277400.0,272158.0,12538200
2020-02-06,274948.0,274453.0,275392.0,272979.0,10567500
2020-02-07,276878.0,274231.0,277517.0,273749.0,12242500
2020-02-10,277830.0,275822.0,278795.0,274701.0,11856400
2020-02-11,270176.0,274088.0,274961.0,269289.0,25030800
2020-02-12,274831.0,271036.0,275431.0,270450.0,13813700
2020-02-13,277935.0,273214.0,279486.0,272771.0,15396600
2020-02-14,279291.0,279056.0,280269.0,277296.0,10741700
2020-02-18,284011.0,278469.0,284246.0,278274.0,15609200
2020-02-19,283607.0,284259.0,284689.0,281807.0,12135100
2020-02-20,279812.0,282342.0,285276.0,277687.0,13109200
2020-02-21,274075.0,278378.0,279369.0,272314.0,14092300
2020-02-24,261739.0,263147.0,265560.0,258414.0,23080100
2020-02-25,256588.0,263734.0,265364.0,255519.0,21433500
2020-02-26,257149.0,257136.0,262378.0,254919.0,16524500
2020-02-27,247434.0,250133.0,255428.0,247108.0,21682600
2020-02-28,250981.0,238241.0,251333.0,237093.0,32568900
2020-03-02,256158.0,253015.0,256327.0,246260.0,24949000
2020-03-03,242401.0,255871.0,257201.0,239897.0,27984100
2020-03-04,250055.0,246678.0,250146.0,243053.0,23062500
2020-03-05,241462.0,243561.0,246443.0,239793.0,19333400
2020-03-06,236141.0,232542.0,239649.0,229843.0,24559600
2020-03-09,221028.0,221158.0,228200.0,215408.0,29949000
2020-03-10,232360.0,227770.0,232490.0,221028.0,24517800
2020-03-11,221993.0,226909.0,229348.0,218629.0,20373900
2020-03-12,201429.0,208040.0,217246.0,201259.0,43266300
2020-03-13,222045.0,213243.0,222710.0,205510.0,35028600
2020-03-16,190397.0,198625.0,207506.0,186602.0,39120400
2020-03-17,194844.0,196565.0,200738.0,182560.0,34255600
2020-03-18,191636.0,182234.0,193227.0,178778.0,37553100
2020-03-19,199682.0,191192.0,208549.0,188819.0,39862300
2020-03-20,195248.0,203450.0,207688.0,192992.0,32568400
2020-03-23,193122.0,195157.0,198612.0,185494.0,29830800
2020-03-24,209918.0,202394.0,210348.0,198951.0,30440400
2020-03-25,203698.0,207232.0,212539.0,199590.0,35184300
2020-03-26,212995.0,206358.0,213856.0,204754.0,26556800
2020-03-27,204454.0,206293.0,208757.0,201794.0,24879900
2020-03-30,216399.0,207571.0,217442.0,206110.0,22515200
2020-03-31,217507.0,215786.0,222893.0,214117.0,23676300
2020-04-01,208118.0,210752.0,214052.0,206084.0,19507600
2020-04-02,206280.0,207466.0,210400.0,203320.0,20886300
2020-04-03,201051.0,204924.0,205915.0,196682.0,25983300
2020-04-06,215877.0,208836.0,216725.0,206697.0,28453600
2020-04-07,220154.0,224014.0,226101.0,216477.0,31411900
2020-04-08,227261.0,223310.0,228200.0,218733.0,21664200
2020-04-09,228448.0,229374.0,230912.0,223727.0,23534300
2020-04-13,227926.0,226466.0,228200.0,220963.0,19355400
2020-04-14,232334.0,233390.0,236324.0,230312.0,21011800
2020-04-15,230769.0,228448.0,232360.0,225357.0,17423000
2020-04-16,229830.0,232047.0,232177.0,224953.0,23593200
2020-04-17,233729.0,233677.0,235085.0,230365.0,20974800
2020-04-20,232425.0,231343.0,235372.0,230508.0,16110700
2020-04-21,222723.0,228526.0,228696.0,219515.0,24850500
2020-04-22,237693.0,232699.0,240953.0,232295.0,33242000
2020-04-23,241410.0,240040.0,243913.0,238828.0,21426600
2020-04-24,247851.0,238932.0,248295.0,235802.0,28792000
2020-04-27,244500.0,251229.0,252650.0,244383.0,29197800
2020-04-28,238515.0,246013.0,246717.0,238058.0,21731000
2020-04-29,253224.0,248973.0,256771.0,247760.0,45954500
2020-04-30,266942.0,269824.0,273436.0,262847.0,46230100
2020-05-01,263760.0,262886.0,270293.0,259561.0,30415600
2020-05-04,267659.0,261061.0,268507.0,259183.0,19250700
2020-05-05,270019.0,269954.0,274336.0,269276.0,21071200
2020-05-06,271845.0,271388.0,275926.0,269485.0,21857000
2020-05-07,275483.0,275353.0,275926.0,272588.0,15152000
2020-05-08,276904.0,276761.0,278026.0,274948.0,12506000
2020-05-11,277987.0,275001.0,280360.0,274322.0,12911900
2020-05-12,273970.0,278130.0,280725.0,273840.0,14704600
2020-05-13,267450.0,273097.0,274857.0,263551.0,20684600
2020-05-14,269680.0,264138.0,269837.0,261700.0,17178900
2020-05-15,274988.0,267672.0,275587.0,266172.0,19383200
2020-05-18,278000.0,276644.0,279891.0,275066.0,20151900
2020-05-19,282812.0,278104.0,287519.0,277530.0,31843200
2020-05-20,299881.0,291444.0,301667.0,291040.0,50162900
2020-05-21,301733.0,306075.0,309309.0,301485.0,47782600
2020-05-22,306323.0,301889.0,307731.0,298277.0,33925600
2020-05-26,302789.0,312660.0,314134.0,302098.0,33178300
2020-05-27,298799.0,298707.0,300650.0,288354.0,34697600
2020-05-28,294000.0,292487.0,302046.0,292096.0,29377200
2020-05-29,293517.0,293661.0,296647.0,290636.0,23241500
2020-06-01,302411.0,292865.0,303102.0,291444.0,18223800
2020-06-02,303467.0,301146.0,303832.0,295434.0,20919000
2020-06-03,300129.0,302671.0,303376.0,298003.0,15380300
2020-06-04,295082.0,299346.0,302046.0,292891.0,17041500
2020-06-05,300924.0,295630.0,301680.0,293804.0,16750400
2020-06-08,301746.0,298655.0,301941.0,296543.0,15466500
2020-06-09,311226.0,301902.0,312660.0,300455.0,27462900
2020-06-10,308696.0,314212.0,314538.0,306805.0,20720700
2020-06-11,292657.0,299842.0,303689.0,291509.0,26708200
2020-06-12,298068.0,299790.0,302085.0,292748.0,22091400
2020-06-15,303180.0,293517.0,304836.0,293139.0,15340300
2020-06-16,307288.0,309231.0,310952.0,303832.0,15236700
2020-06-17,307131.0,306440.0,309817.0,302176.0,19578100
2020-06-18,307666.0,306427.0,307927.0,302724.0,15782500
2020-06-19,311382.0,310078.0,314042.0,307157.0,30081300
2020-06-22,311943.0,311082.0,313873.0,308931.0,18917800
2020-06-23,315881.0,314629.0,319728.0,312777.0,24017900
2020-06-24,305162.0,314525.0,317159.0,303415.0,20834900
2020-06-25,307327.0,305944.0,309439.0,303493.0,18704300
2020-06-26,281768.0,303363.0,303949.0,280882.0,76343900
2020-06-29,287715.0,273514.0,287858.0,270071.0,58514300
2020-06-30,296099.0,287649.0,296660.0,284885.0,33927100
2020-07-01,309765.0,297964.0,311656.0,296738.0,43399700
2020-07-02,304380.0,311656.0,312960.0,303323.0,30633600
2020-07-06,313325.0,304823.0,313482.0,302880.0,26206200
2020-07-07,314081.0,312191.0,322936.0,311421.0,27887800
2020-07-08,317628.0,310495.0,322075.0,308513.0,29791300
2020-07-09,318828.0,319480.0,321475.0,311969.0,22174900
2020-07-10,319571.0,317772.0,320119.0,312073.0,22982700
2020-07-13,311656.0,322101.0,326196.0,310900.0,24674900
2020-07-14,312608.0,308735.0,313390.0,302567.0,23378100
