날짜,종가,시가,고가,저가,거래량
2020-01-02,209448.0,207049.0,209592.0,206462.0,22622100
2020-01-03,206840.0,206449.0,208575.0,206110.0,21116200
2020-01-06,207375.0,204832.0,207466.0,204089.0,20813700
2020-01-07,205484.0,207753.0,208210.0,205145.0,21634100
2020-01-08,208757.0,207245.0,209683.0,205967.0,27746500
2020-01-09,211365.0,211039.0,211535.0,209983.0,21385000
2020-01-10,210387.0,212317.0,212839.0,210179.0,20725900
2020-01-13,212917.0,210935.0,212956.0,210283.0,21626500
2020-01-14,211418.0,213061.0,213334.0,210883.0,23477400
2020-01-15,212787.0,212056.0,213778.0,211991.0,21417900
2020-01-16,216686.0,214312.0,216777.0,213895.0,23865400
2020-01-17,217898.0,218316.0,218381.0,215721.0,34371700
2020-01-21,217116.0,217351.0,219320.0,217025.0,29517200
2020-01-22,216073.0,218290.0,218407.0,216047.0,24138800
2020-01-23,217403.0,216712.0,217507.0,215512.0,19680800
2020-01-24,215212.0,218433.0,218459.0,214443.0,24918100
2020-01-27,211613.0,210140.0,213048.0,208901.0,32078100
2020-01-28,215760.0,213569.0,216151.0,212643.0,24899900
2020-01-29,219124.0,218863.0,220050.0,216060.0,34754500
2020-01-30,225305.0,226961.0,226961.0,222710.0,51597500
2020-01-31,221980.0,224562.0,224810.0,221132.0,36142700
2020-02-03,227392.0,222241.0,227548.0,222202.0,30107000
2020-02-04,234876.0,230991.0,235555.0,229908.0,36433300
2020-02-05,234590.0,239975.0,240197.0,232647.0,39186300
2020-02-06,239454.0,235985.0,239701.0,234798.0,27751400
2020-02-07,239793.0,238436.0,242062.0,237954.0,33529100
2020-02-10,246065.0,239388.0,246247.0,238958.0,35844300
2020-02-11,240510.0,248608.0,248673.0,239284.0,53159900
2020-02-12,240862.0,241996.0,242348.0,237132.0,47062900
2020-02-13,239558.0,238736.0,242844.0,238462.0,35295800
2020-02-14,241696.0,238958.0,241775.0,238176.0,23149500
2020-02-18,244148.0,242035.0,244761.0,241892.0,27792200
2020-02-19,244213.0,245230.0,245387.0,243157.0,29997500
2020-02-20,240484.0,243783.0,244174.0,236154.0,36862400
2020-02-21,232881.0,238854.0,239284.0,231134.0,48572600
2020-02-24,222841.0,218772.0,227613.0,212852.0,68311100
2020-02-25,219163.0,227157.0,227991.0,218616.0,68073300
2020-02-26,221902.0,221302.0,225931.0,219346.0,56206100
2020-02-27,206267.0,212969.0,217807.0,206006.0,93174900
2020-02-28,211261.0,198743.0,213478.0,198208.0,97012700
2020-03-02,225318.0,215564.0,225488.0,211652.0,71030800
2020-03-03,214521.0,226635.0,228200.0,211587.0,71677000
2020-03-04,222397.0,219711.0,222593.0,215968.0,49814400
2020-03-05,216816.0,216529.0,222814.0,216060.0,47817300
2020-03-06,210687.0,212043.0,212695.0,203424.0,72821100
2020-03-09,196408.0,196904.0,205706.0,195600.0,70419300
2020-03-10,209840.0,206241.0,209983.0,198964.0,65354400
2020-03-11,200334.0,204898.0,205641.0,197100.0,56371600
2020-03-12,181334.0,189471.0,200125.0,180708.0,93226400
2020-03-13,207114.0,192340.0,211131.0,183512.0,92727400
2020-03-16,176588.0,182560.0,194752.0,176040.0,87905900
2020-03-17,191127.0,182560.0,192340.0,176040.0,81059800
2020-03-18,183082.0,179952.0,190384.0,176066.0,81593200
2020-03-19,186094.0,186172.0,195796.0,181256.0,85922700
2020-03-20,179104.0,190384.0,191818.0,177161.0,84866200
2020-03-23,177318.0,178661.0,183303.0,172806.0,78975200
2020-03-24,193435.0,187450.0,195078.0,184216.0,82516700
2020-03-25,191584.0,194179.0,201246.0,188350.0,75638200
2020-03-26,203567.0,193514.0,204285.0,193474.0,64568100
2020-03-27,195209.0,197882.0,201977.0,194557.0,57042300
2020-03-30,208940.0,198782.0,209422.0,195613.0,63420300
2020-03-31,205654.0,207858.0,214873.0,204154.0,77927200
2020-04-01,198351.0,199512.0,205706.0,196669.0,57969900
2020-04-02,202459.0,198025.0,202746.0,196069.0,49630700
2020-04-03,200594.0,202250.0,205224.0,198456.0,41243300
2020-04-06,215512.0,209057.0,217116.0,205484.0,67111700
2020-04-07,213191.0,221145.0,221680.0,212891.0,62769000
2020-04-08,215330.0,216034.0,217338.0,213204.0,48318200
2020-04-09,215343.0,216933.0,218250.0,212982.0,51385100
2020-04-13,215825.0,214312.0,215903.0,211639.0,41905300
2020-04-14,226505.0,220376.0,226570.0,219072.0,52874300
2020-04-15,224132.0,223245.0,226335.0,220689.0,40940800
2020-04-16,230860.0,227287.0,231173.0,225462.0,50479600
2020-04-17,232894.0,234068.0,234720.0,229334.0,52765600
2020-04-20,228278.0,230326.0,233090.0,228187.0,36669600
2020-04-21,218837.0,226244.0,226466.0,216607.0,56203700
2020-04-22,226270.0,223493.0,226896.0,222749.0,34620200
2020-04-23,223532.0,227039.0,228278.0,222867.0,32790800
2020-04-24,227613.0,224366.0,227626.0,222606.0,34277600
2020-04-27,226961.0,230273.0,230678.0,225983.0,33194400
2020-04-28,221432.0,228969.0,229074.0,220885.0,34392700
2020-04-29,231369.0,225879.0,231695.0,224132.0,51286600
2020-04-30,233690.0,234720.0,235242.0,229804.0,53875900
2020-05-01,227639.0,229243.0,232947.0,226909.0,39370500
2020-05-04,233207.0,227535.0,233416.0,226635.0,30372900
2020-05-05,235711.0,235528.0,239480.0,234590.0,36839200
2020-05-06,238032.0,237432.0,240197.0,236846.0,32139300
2020-05-07,239414.0,240158.0,240653.0,238084.0,28316000
2020-05-08,240823.0,241214.0,241240.0,239101.0,30877800
2020-05-11,243509.0,238828.0,244513.0,238436.0,30892700
2020-05-12,237993.0,243587.0,243900.0,237719.0,32038200
2020-05-13,234394.0,238045.0,240001.0,230208.0,44711500
2020-05-14,235411.0,231512.0,235620.0,229087.0,41873900
2020-05-15,238841.0,233494.0,243926.0,230808.0,46610400
2020-05-18,241123.0,242218.0,242805.0,239884.0,35264500
2020-05-19,239454.0,241279.0,243326.0,239271.0,26799100
2020-05-20,242101.0,240992.0,242348.0,239858.0,31261300
2020-05-21,239193.0,241762.0,243418.0,239010.0,29119500
2020-05-22,239297.0,238880.0,240536.0,238032.0,20826900
2020-05-26,236767.0,242987.0,243196.0,236154.0,36073600
2020-05-27,237080.0,234981.0,237315.0,230286.0,39517100
2020-05-28,236546.0,235685.0,240132.0,235216.0,33810200
2020-05-29,238958.0,238280.0,240288.0,235255.0,42130400
2020-06-01,238410.0,238032.0,238632.0,236624.0,22622400
2020-06-02,241123.0,240262.0,241240.0,236480.0,30794600
2020-06-03,241709.0,241005.0,242466.0,239388.0,27311000
2020-06-04,238528.0,240327.0,242335.0,237719.0,28761800
2020-06-05,244109.0,238136.0,244800.0,237341.0,39893600
2020-06-08,245621.0,242466.0,245869.0,240510.0,33211600
2020-06-09,247499.0,245152.0,248673.0,244187.0,29783900
2020-06-10,256679.0,249234.0,258870.0,249077.0,43872300
2020-06-11,242896.0,251842.0,255271.0,242635.0,52854700
2020-06-12,244813.0,248464.0,250003.0,241475.0,43373600
2020-06-15,246378.0,240692.0,248829.0,239949.0,32770200
2020-06-16,252415.0,251529.0,255036.0,249664.0,42556700
2020-06-17,253289.0,254319.0,256001.0,252572.0,25687800
2020-06-18,256001.0,252976.0,256223.0,252976.0,23061600
2020-06-19,254476.0,258961.0,259874.0,253458.0,44441100
2020-06-22,261543.0,255310.0,261791.0,254580.0,32818900
2020-06-23,263291.0,263525.0,265951.0,262665.0,30917400
2020-06-24,257983.0,262886.0,265038.0,256314.0,36740600
2020-06-25,261243.0,257931.0,261595.0,254893.0,27803900
2020-06-26,256014.0,260448.0,260657.0,254124.0,54675800
2020-06-29,258766.0,255297.0,258883.0,252389.0,26701600
2020-06-30,265377.0,258036.0,266538.0,257853.0,34310300
2020-07-01,266929.0,264895.0,269080.0,263108.0,32061200
2020-07-02,268963.0,268207.0,271258.0,267320.0,29315800
2020-07-06,274753.0,272314.0,275314.0,271349.0,31897600
2020-07-07,271558.0,274427.0,279930.0,271219.0,33600700
2020-07-08,277530.0,273931.0,278091.0,272132.0,33600000
2020-07-09,279473.0,282094.0,282160.0,275757.0,33121700
2020-07-10,278626.0,278560.0,279160.0,275248.0,26177600
2020-07-13,270019.0,279682.0,281403.0,269276.0,38135600
2020-07-14,271688.0,268794.0,272340.0,263447.0,37591800
2020-07-15,271284.0,273266.0,275574.0,267359.0,32179400
2020-07-16,265912.0,267842.0,268233.0,263812.0,29940700
2020-07-17,264556.0,266629.0,267372.0,262613.0,31635300
2020-07-20,275926.0,267320.0,276839.0,264725.0,36884800
2020-07-21,272210.0,278613.0,278978.0,271271.0,37990400
2020-07-22,276122.0,272797.0,276839.0,271741.0,49605700
2020-07-23,264112.0,270176.0,275040.0,263604.0,67457000
2020-07-24,262495.0,261348.0,264529.0,257553.0,39827000
2020-07-27,265820.0,262717.0,265977.0,261921.0,30160900
2020-07-28,263434.0,265507.0,266929.0,263069.0,23251400
2020-07-29,266094.0,264060.0,266864.0,263421.0,19632600
2020-07-30,265886.0,262104.0,266616.0,260239.0,25079600
2020-07-31,267333.0,266538.0,267450.0,259509.0,51044000
2020-08-03,282368.0,275822.0,283803.0,274414.0,78983000
2020-08-04,278130.0,279278.0,280060.0,274244.0,49280100
2020-08-05,277674.0,280230.0,280360.0,275887.0,28806400
2020-08-06,282120.0,276891.0,282146.0,275861.0,32656800
2020-08-07,277074.0,280164.0,281273.0,275053.0,27820400
2020-08-10,271558.0,276018.0,276292.0,269080.0,36716500
2020-08-11,265208.0,270137.0,270776.0,264895.0,36446500
2020-08-12,272784.0,267698.0,274205.0,266994.0,28013100
2020-08-13,272145.0,273110.0,275600.0,271428.0,22588900
2020-08-14,272406.0,272223.0,273305.0,270593.0,17958900
2020-08-17,274205.0,273318.0,275392.0,272432.0,20184800
2020-08-18,275783.0,274531.0,276917.0,272810.0,21336200
2020-08-19,273449.0,275783.0,276578.0,272862.0,27627600
2020-08-20,279812.0,273240.0,280360.0,272419.0,26981500
2020-08-21,277778.0,278873.0,281990.0,277556.0,36249300
2020-08-24,278652.0,280086.0,281038.0,277009.0,25460100
2020-08-25,282277.0,277882.0,282459.0,277882.0,23043700
2020-08-26,288380.0,284116.0,289605.0,283437.0,39600800
2020-08-27,295460.0,290649.0,301420.0,286098.0,57602200
2020-08-28,298499.0,297547.0,300755.0,295460.0,26292900
2020-08-31,294091.0,296008.0,298225.0,292500.0,28774200
2020-09-01,296360.0,294065.0,296595.0,292657.0,25725500
2020-09-02,302072.0,297273.0,303649.0,296464.0,34080800
2020-09-03,283359.0,298968.0,299020.0,280308.0,58400300
2020-09-04,279382.0,280490.0,284741.0,267568.0,59664100
2020-09-08,264269.0,269276.0,273879.0,263669.0,52924300
2020-09-09,275522.0,270710.0,280151.0,269537.0,45679000
2020-09-10,267802.0,278274.0,280021.0,266159.0,35461500
2020-09-11,266055.0,270189.0,272054.0,262417.0,33620100
2020-09-14,267855.0,266329.0,272797.0,266055.0,30375800
2020-09-15,272249.0,271780.0,273553.0,269837.0,21823900
2020-09-16,267385.0,274648.0,274688.0,266851.0,26328100
2020-09-17,264595.0,260865.0,266446.0,260748.0,34011300
2020-09-18,261309.0,264451.0,265560.0,255910.0,55225300
2020-09-21,264112.0,257136.0,264334.0,256080.0,39839700
2020-09-22,270476.0,267398.0,271362.0,263512.0,33517100
2020-09-23,261569.0,271102.0,271362.0,260839.0,30803800
2020-09-24,264960.0,260604.0,268063.0,259757.0,31202500
2020-09-25,270997.0,265429.0,272588.0,264112.0,29437300
2020-09-28,273110.0,274988.0,277191.0,271310.0,32004900
2020-09-29,270267.0,272992.0,273931.0,269680.0,24221900
2020-09-30,274270.0,270880.0,276422.0,269328.0,33829100
2020-10-01,277048.0,278391.0,279043.0,275561.0,27158400
2020-10-02,268872.0,271232.0,275131.0,268024.0,33154800
2020-10-05,274336.0,270215.0,274375.0,269902.0,21331600
2020-10-06,268507.0,272301.0,274075.0,267085.0,28554300
2020-10-07,273618.0,270006.0,273983.0,269563.0,25681100
2020-10-08,274596.0,274505.0,275392.0,271649.0,19925800
2020-10-09,281416.0,275444.0,281481.0,275444.0,26458000
2020-10-12,288706.0,285302.0,291913.0,282720.0,40461400
2020-10-13,290609.0,290427.0,293674.0,287441.0,28950800
2020-10-14,288001.0,290792.0,292383.0,285746.0,23421700
2020-10-15,286437.0,283098.0,287349.0,281677.0,22733100
2020-10-16,286437.0,287076.0,289866.0,285993.0,26057900
2020-10-19,279343.0,287428.0,289879.0,278691.0,27625800
2020-10-20,279904.0,281403.0,283450.0,277869.0,22753500
2020-10-21,280099.0,277908.0,282864.0,277908.0,22724900
2020-10-22,280217.0,278965.0,281742.0,276057.0,22351500
2020-10-23,281964.0,280399.0,282029.0,277961.0,18879600
2020-10-26,273944.0,278860.0,282107.0,271362.0,37111600
2020-10-27,278078.0,275913.0,279930.0,274270.0,36700300
2020-10-28,264295.0,270802.0,272327.0,263538.0,51195600
2020-10-29,266955.0,266107.0,270397.0,265194.0,31432600
2020-10-30,264021.0,265364.0,266394.0,260304.0,36953700
2020-11-02,263838.0,266394.0,267685.0,260956.0,30842200
2020-11-03,269185.0,265873.0,271388.0,264868.0,27512000
2020-11-04,282173.0,279082.0,284689.0,276996.0,42311800
2020-11-05,291170.0,289540.0,292252.0,288380.0,36080100
2020-11-06,291731.0,289827.0,292565.0,284311.0,25231900
2020-11-09,284781.0,292670.0,297468.0,284116.0,44395000
2020-11-10,275157.0,279708.0,282316.0,273475.0,44045100
2020-11-11,282381.0,276957.0,284324.0,276709.0,29440800
2020-11-12,280934.0,283242.0,285719.0,279656.0,21593900
2020-11-13,282329.0,282133.0,283516.0,279265.0,18621100
2020-11-16,283268.0,280190.0,283933.0,279734.0,24953300
2020-11-17,279656.0,281794.0,283855.0,279160.0,24154100
2020-11-18,275248.0,278600.0,280582.0,275053.0,28372800
2020-11-19,276996.0,275640.0,277791.0,273749.0,24792700
2020-11-20,274349.0,276709.0,278130.0,273840.0,22843100
2020-11-23,273983.0,275079.0,276826.0,271441.0,25683500
2020-11-24,278873.0,273305.0,279382.0,272353.0,33979700
2020-11-25,278886.0,280503.0,280738.0,277048.0,21012900
2020-11-27,280660.0,280164.0,282016.0,279108.0,14512200
2020-11-30,279147.0,279186.0,280047.0,274935.0,33064800
2020-12-01,281938.0,279721.0,283385.0,278208.0,30904500
2020-12-02,280842.0,280204.0,280973.0,277491.0,23724500
2020-12-03,279369.0,279851.0,282160.0,278600.0,25120900
2020-12-04,279525.0,279343.0,280856.0,277987.0,24666000
2020-12-07,279434.0,279538.0,281064.0,277739.0,24620000
2020-12-08,281677.0,279017.0,282903.0,277609.0,23284100
2020-12-09,276187.0,280569.0,280660.0,275418.0,32440600
2020-12-10,274518.0,276148.0,277856.0,274309.0,26733300
2020-12-11,278091.0,273905.0,278169.0,272679.0,30979400
2020-12-14,279317.0,277882.0,281938.0,277596.0,28798400
2020-12-15,279226.0,280582.0,280908.0,276761.0,27000600
2020-12-16,285941.0,280034.0,287023.0,279995.0,35023300
2020-12-17,286124.0,286710.0,288041.0,284168.0,32515800
2020-12-18,285041.0,285041.0,286476.0,281690.0,63354900
2020-12-21,290257.0,283685.0,292096.0,283333.0,37181900
2020-12-22,292018.0,290388.0,294222.0,289292.0,22612200
2020-12-23,288210.0,290935.0,291522.0,287923.0,18699600
2020-12-24,290466.0,288732.0,291587.0,288445.0,10550600
2020-12-28,293348.0,292683.0,294743.0,290818.0,17933500
2020-12-29,292292.0,295108.0,296243.0,291548.0,17403200
2020-12-30,289071.0,293700.0,294222.0,288797.0,20272300
2020-12-31,290036.0,289097.0,290792.0,286463.0,20942100
2021-01-04,283868.0,290179.0,290792.0,280112.0,37130100
2021-01-05,284142.0,283307.0,284950.0,281273.0,23823000
2021-01-06,276774.0,276670.0,282303.0,276370.0,35930700
2021-01-07,284650.0,279108.0,286019.0,278678.0,27694500
2021-01-08,286384.0,285159.0,287636.0,283007.0,22956200
2021-01-11,283607.0,284885.0,285459.0,282616.0,23031300
2021-01-12,280269.0,282316.0,283098.0,278169.0,23249300
