날짜,종가,시가,고가,저가,거래량
2020-01-02,430072.0,425234.0,430294.0,423513.0,4485800
2020-01-03,424974.0,426121.0,430137.0,424491.0,3806900
2020-01-06,437922.0,421348.0,438613.0,418845.0,5663100
2020-01-07,431298.0,438757.0,439057.0,430711.0,4703200
2020-01-08,442395.0,432263.0,446881.0,431689.0,7104500
2020-01-09,437701.0,445968.0,447820.0,436331.0,4709300
2020-01-10,429081.0,439618.0,441404.0,426760.0,4718300
2020-01-13,441952.0,432667.0,444468.0,432289.0,6290000
2020-01-14,441652.0,449098.0,450376.0,437518.0,7199400
2020-01-15,442147.0,441639.0,447494.0,438926.0,5158000
2020-01-16,441560.0,447924.0,448002.0,437948.0,5016000
2020-01-17,442930.0,444664.0,445407.0,439944.0,6066500
2020-01-21,440895.0,443360.0,444664.0,433697.0,14350300
2020-01-22,425104.0,433645.0,438535.0,421974.0,21730000
2020-01-23,455878.0,425156.0,456244.0,423813.0,18200300
2020-01-24,460521.0,454392.0,469244.0,451028.0,17939700
2020-01-27,447116.0,451119.0,458878.0,444690.0,7709500
2020-01-28,454470.0,451028.0,459530.0,446985.0,6821600
2020-01-29,447481.0,455096.0,455618.0,441469.0,7643500
2020-01-30,453453.0,444794.0,454053.0,442382.0,5328100
2020-01-31,449997.0,452997.0,452997.0,444638.0,5230000
2020-02-03,466832.0,452801.0,468958.0,451549.0,6670600
2020-02-04,481189.0,470744.0,481919.0,464354.0,7161500
2020-02-05,482050.0,489170.0,489326.0,472439.0,6437000
2020-02-06,478503.0,481958.0,484501.0,472713.0,3920400
2020-02-07,478268.0,476012.0,484827.0,474095.0,4385200
2020-02-10,483875.0,475960.0,488739.0,472726.0,5294100
2020-02-11,487292.0,487370.0,493055.0,482115.0,4772900
2020-02-12,495533.0,491843.0,496328.0,490148.0,4624800
2020-02-13,497346.0,491556.0,502522.0,490969.0,4485400
2020-02-14,496042.0,497437.0,502236.0,494777.0,3736300
2020-02-18,505665.0,494607.0,507960.0,494464.0,5173900
2020-02-19,503592.0,506108.0,512407.0,501910.0,4896400
2020-02-20,503344.0,504074.0,508169.0,491191.0,4079400
2020-02-21,495611.0,502470.0,505065.0,492782.0,3930100
2020-02-24,480785.0,475647.0,486157.0,470744.0,6936400
2020-02-25,469557.0,485088.0,489848.0,466467.0,6481200
2020-02-26,494529.0,477668.0,498128.0,475960.0,8934100
2020-02-27,484710.0,484384.0,510594.0,483262.0,10967700
2020-02-28,481215.0,474930.0,491308.0,465267.0,11168600
2020-03-02,496889.0,486535.0,497293.0,475308.0,6997900
2020-03-03,480876.0,496863.0,513150.0,479090.0,8364600
2020-03-04,500462.0,492612.0,500749.0,483145.0,5487300
2020-03-05,486105.0,496824.0,510386.0,480707.0,8747000
2020-03-06,481137.0,479481.0,484188.0,465332.0,8147200
2020-03-09,451823.0,448393.0,466141.0,445603.0,7405500
2020-03-10,474826.0,464785.0,475360.0,453596.0,7604400
2020-03-11,456296.0,468032.0,473326.0,449606.0,6036000
2020-03-12,411086.0,425756.0,437779.0,400745.0,12071600
2020-03-13,438535.0,430985.0,438692.0,400837.0,9458200
2020-03-16,389687.0,399846.0,435992.0,384354.0,10559900
2020-03-17,416954.0,399272.0,421062.0,378486.0,10013900
2020-03-18,411373.0,394330.0,432380.0,391200.0,12593600
2020-03-19,432967.0,422926.0,454457.0,413133.0,10616000
2020-03-20,434010.0,446372.0,457039.0,432928.0,10853800
2020-03-23,469792.0,453649.0,477407.0,444508.0,13449400
2020-03-24,465945.0,482467.0,486301.0,460351.0,11638700
2020-03-25,446477.0,470770.0,472048.0,442278.0,8767200
2020-03-26,473339.0,448576.0,474447.0,445616.0,7229600
2020-03-27,465684.0,468253.0,480602.0,460312.0,7948800
2020-03-30,483732.0,473352.0,492651.0,470966.0,8622000
2020-03-31,489652.0,479781.0,499445.0,477838.0,9366500
2020-04-01,474760.0,490369.0,495820.0,470770.0,6672500
2020-04-02,482584.0,474760.0,483771.0,469518.0,4592500
2020-04-03,471735.0,479181.0,483654.0,466193.0,4860800
2020-04-06,495468.0,476247.0,495898.0,471670.0,8183900
2020-04-07,485453.0,495520.0,497254.0,481619.0,7046400
2020-04-08,483940.0,487709.0,493421.0,480276.0,6908900
2020-04-09,483419.0,483862.0,485218.0,473391.0,7711300
2020-04-13,517323.0,484188.0,522265.0,479481.0,11692900
2020-04-14,539269.0,518340.0,544837.0,514884.0,11581000
2020-04-15,556482.0,538552.0,567214.0,537574.0,13561200
2020-04-16,572678.0,569848.0,586174.0,562819.0,16128700
2020-04-17,551540.0,562024.0,563328.0,540769.0,12616300
2020-04-20,570487.0,567462.0,579615.0,561450.0,12655800
2020-04-21,565714.0,579980.0,582888.0,554982.0,23177600
2020-04-22,549532.0,560368.0,564632.0,538552.0,21084800
2020-04-23,556417.0,546715.0,571687.0,546715.0,13952300
2020-04-24,554187.0,554200.0,557030.0,542308.0,8658900
2020-04-27,549480.0,554200.0,559416.0,548775.0,6277500
2020-04-28,526594.0,547667.0,548984.0,525395.0,10101200
2020-04-29,537105.0,520987.0,542281.0,513254.0,9693100
2020-04-30,547484.0,535044.0,553470.0,532032.0,7954000
2020-05-01,541512.0,541290.0,558073.0,536896.0,8299900
2020-05-04,558308.0,544785.0,558816.0,540990.0,7799100
2020-05-05,553783.0,557538.0,562024.0,549714.0,6286300
2020-05-06,566275.0,559807.0,573460.0,556013.0,6660700
2020-05-07,569235.0,569705.0,572300.0,561581.0,5641900
2020-05-08,567957.0,566119.0,576368.0,565467.0,5049300
2020-05-11,574438.0,568974.0,580137.0,567970.0,5486000
2020-05-12,563093.0,576368.0,579198.0,562493.0,4598200
2020-05-13,571504.0,568140.0,582888.0,557160.0,7014600
2020-05-14,576303.0,580150.0,589904.0,564397.0,9007500
2020-05-15,592264.0,574673.0,593320.0,570513.0,7244000
2020-05-18,590164.0,588313.0,595093.0,578128.0,7773500
2020-05-19,588156.0,591234.0,598497.0,587413.0,4810500
2020-05-20,583762.0,592342.0,594376.0,578976.0,5607300
2020-05-21,568870.0,584922.0,585444.0,561046.0,9117300
2020-05-22,559833.0,569848.0,572573.0,557043.0,5422300
2020-05-26,540860.0,557812.0,558764.0,538735.0,7881100
2020-05-27,547537.0,535136.0,547706.0,518809.0,10446300
2020-05-28,539126.0,544081.0,550770.0,536596.0,5655100
2020-05-29,547328.0,544368.0,548071.0,537052.0,5254900
2020-06-01,555400.0,546154.0,556443.0,542438.0,3743700
2020-06-02,557212.0,555334.0,557577.0,546976.0,3494800
2020-06-03,550249.0,556743.0,556938.0,545137.0,4316000
