날짜,종가,시가,고가,저가,거래량
2021-12-01,224307.0,230904.0,231873.0,224169.0,74916000
2021-12-02,223892.0,225367.0,227497.0,223006.0,64726000
2021-12-03,220794.0,225041.0,226010.0,217460.0,80712000
2021-12-06,223242.0,221003.0,226273.0,217466.0,68860000
2021-12-07,229490.0,227451.0,231229.0,225803.0,66410000
2021-12-08,229481.0,229471.0,230812.0,227647.0,45254000
2021-12-09,226893.0,228950.0,230538.0,226852.0,46062000
2021-12-10,224341.0,228516.0,229180.0,222110.0,60690000
2021-12-13,220896.0,224064.0,224195.0,220326.0,62170000
2021-12-14,220276.0,218267.0,220806.0,216821.0,55976000
2021-12-15,225777.0,219633.0,226149.0,215200.0,75794000
2021-12-16,219988.0,225847.0,226886.0,219063.0,60876000
2021-12-17,221482.0,218476.0,222629.0,215745.0,85542000
2021-12-20,217654.0,217356.0,218690.0,215727.0,57372000
2021-12-21,222002.0,218659.0,222392.0,215789.0,55956000
2021-12-22,222810.0,220508.0,224130.0,219506.0,55036000
2021-12-23,222851.0,222017.0,224032.0,221654.0,36788000
2021-12-27,221028.0,222810.0,225293.0,220437.0,58688000
2021-12-28,222320.0,221697.0,224294.0,220333.0,54638000
2021-12-29,220418.0,222553.0,223038.0,219636.0,35754000
2021-12-30,219693.0,221068.0,222616.0,219536.0,37584000
2021-12-31,217182.0,220099.0,220612.0,216976.0,47830000
2022-01-03,221986.0,218267.0,222375.0,216457.0,63520000
2022-01-04,218231.0,222030.0,223283.0,216703.0,70726000
2022-01-05,214108.0,217398.0,217716.0,214108.0,64302000
2022-01-06,212671.0,212927.0,214685.0,210955.0,51958000
2022-01-07,211759.0,213433.0,215263.0,211078.0,46606000
2022-01-10,210368.0,209195.0,210596.0,203618.0,87798000
2022-01-11,215417.0,210386.0,216704.0,209346.0,62806000
2022-01-12,215215.0,216997.0,217392.0,214186.0,50030000
2022-01-13,210013.0,215272.0,216537.0,209853.0,52188000
2022-01-14,211217.0,208627.0,211363.0,208172.0,45974000
2022-01-18,207022.0,207266.0,208086.0,205390.0,67292000
2022-01-19,203611.0,206819.0,207455.0,203547.0,53242000
2022-01-20,197577.0,204219.0,205827.0,197165.0,71974000
2022-01-21,185821.0,195340.0,196577.0,185075.0,163972000
2022-01-24,188297.0,181075.0,188820.0,176323.0,155624000
2022-01-25,182360.0,185299.0,187068.0,179961.0,90824000
2022-01-26,180909.0,188566.0,189132.0,178885.0,95602000
2022-01-27,181906.0,183420.0,187906.0,181531.0,77516000
2022-01-28,187560.0,183499.0,187586.0,179681.0,74392000
2022-01-31,194849.0,188566.0,195875.0,187980.0,78308000
2022-02-01,196960.0,195405.0,197630.0,192314.0,59220000
2022-02-02,196203.0,201984.0,202016.0,193924.0,87330000
2022-02-03,180874.0,184641.0,187911.0,180206.0,225532000
2022-02-04,205357.0,202709.0,209995.0,196197.0,253456000
2022-02-07,205743.0,206504.0,211938.0,204850.0,102624000
2022-02-08,210273.0,204199.0,210767.0,202636.0,76040000
2022-02-09,209982.0,212175.0,213427.0,208758.0,68786000
2022-02-10,207134.0,206283.0,209365.0,205501.0,68268000
2022-02-11,199695.0,206002.0,207129.0,198967.0,77100000
2022-02-14,202136.0,197686.0,206411.0,197554.0,83230000
2022-02-15,203886.0,205313.0,205836.0,201446.0,56440000
2022-02-16,205958.0,202948.0,206913.0,201573.0,52704000
2022-02-17,201466.0,206017.0,208887.0,201267.0,64032000
2022-02-18,198794.0,202569.0,202569.0,196568.0,63604000
2022-02-22,195662.0,196028.0,199290.0,193432.0,66128000
2022-02-23,188666.0,197555.0,197702.0,188437.0,64244000
2022-02-24,197174.0,182166.0,197683.0,181727.0,100786000
2022-02-25,200340.0,196121.0,200603.0,194380.0,62396000
2022-02-28,200047.0,198564.0,201202.0,196512.0,57684000
2022-03-01,196893.0,198965.0,200745.0,195375.0,44874000
2022-03-02,198079.0,196511.0,199312.0,193777.0,47334000
2022-03-03,192667.0,200005.0,200523.0,191309.0,65198000
2022-03-04,189727.0,191704.0,192604.0,187337.0,60934000
2022-03-07,179060.0,189469.0,190317.0,179012.0,86934000
2022-03-08,177186.0,178058.0,183289.0,174005.0,91662000
2022-03-09,181439.0,181727.0,182704.0,178246.0,82656000
2022-03-10,191259.0,189784.0,193678.0,187560.0,135062000
2022-03-11,189575.0,194851.0,194982.0,189372.0,68900000
2022-03-14,184792.0,190169.0,192083.0,183530.0,74086000
2022-03-15,191974.0,186091.0,192780.0,184983.0,75584000
2022-03-16,199449.0,193451.0,199508.0,191957.0,84958000
2022-03-17,204835.0,198845.0,205173.0,198193.0,72934000
2022-03-18,210061.0,204280.0,210508.0,203236.0,102962000
2022-03-21,210375.0,209892.0,212450.0,207850.0,66538000
2022-03-22,214801.0,210784.0,216466.0,210645.0,64086000
2022-03-23,212872.0,213259.0,216730.0,211932.0,55812000
2022-03-24,213186.0,213316.0,213797.0,208497.0,56798000
2022-03-25,214650.0,213643.0,215426.0,211363.0,49032000
2022-03-28,220144.0,214913.0,220205.0,214815.0,59854000
2022-03-29,220567.0,221959.0,222542.0,218682.0,66154000
2022-03-30,216640.0,219517.0,220092.0,215597.0,56168000
2022-03-31,212337.0,216828.0,216893.0,212280.0,59966000
2022-04-01,213070.0,213838.0,216023.0,211454.0,57090000
2022-04-04,219305.0,213806.0,219368.0,212608.0,49882000
2022-04-05,213714.0,218517.0,218998.0,212687.0,53728000
2022-04-06,206811.0,210582.0,211298.0,204855.0,79056000
2022-04-07,205546.0,206348.0,208535.0,201282.0,68136000
2022-04-08,201216.0,204198.0,205004.0,200917.0,46002000
2022-04-11,196867.0,198939.0,200794.0,196101.0,52112000
2022-04-12,196431.0,200215.0,202047.0,195904.0,55178000
2022-04-13,202623.0,195429.0,203254.0,194884.0,53390000
2022-04-14,197628.0,202427.0,203087.0,197323.0,51598000
2022-04-18,199033.0,197390.0,200667.0,195731.0,46514000
2022-04-19,205977.0,198049.0,206672.0,197425.0,54926000
2022-04-20,200613.0,205309.0,205309.0,200099.0,59630000
2022-04-21,193185.0,201546.0,204183.0,192265.0,63970000
2022-04-22,188045.0,193125.0,194903.0,187195.0,73078000
2022-04-25,190291.0,187619.0,190483.0,185383.0,61874000
2022-04-26,181585.0,188631.0,188704.0,180983.0,77530000
2022-04-27,179990.0,182627.0,184916.0,176885.0,71336000
2022-04-28,188366.0,185215.0,190113.0,182769.0,117316000
2022-04-29,161902.0,169154.0,170342.0,158441.0,272662000
2022-05-02,162186.0,159452.0,162405.0,154207.0,148788000
2022-05-03,161865.0,161604.0,164427.0,160004.0,79134000
2022-05-04,164047.0,161014.0,164140.0,155260.0,110746000
2022-05-05,151643.0,160232.0,160882.0,149905.0,144392000
2022-05-06,149514.0,149615.0,155087.0,147311.0,124260000
2022-05-09,141719.0,145007.0,148508.0,140636.0,128124000
2022-05-10,141811.0,144925.0,146739.0,139612.0,105434000
2022-05-11,137268.0,140826.0,143500.0,136039.0,109704000
2022-05-12,139298.0,133852.0,144314.0,133404.0,132026000
2022-05-13,147277.0,142084.0,147445.0,140431.0,93684000
2022-05-16,144353.0,147335.0,148498.0,143758.0,74566000
2022-05-17,150291.0,147563.0,150853.0,144960.0,76448000
2022-05-18,139535.0,145172.0,147014.0,138411.0,108380000
2022-05-19,139804.0,138452.0,143341.0,138338.0,88142000
2022-05-20,140159.0,142735.0,143164.0,136796.0,99500000
2022-05-23,140115.0,141292.0,141759.0,135416.0,107798000
2022-05-24,135611.0,135513.0,137305.0,131911.0,102934000
2022-05-25,139096.0,135032.0,140920.0,135025.0,93120000
2022-05-26,144701.0,140653.0,146769.0,139980.0,93002000
2022-05-27,150001.0,147922.0,150054.0,146720.0,93660000
2022-05-31,156597.0,151478.0,158922.0,150690.0,144634000
2022-06-01,158518.0,159263.0,163071.0,157135.0,127528000
2022-06-02,163503.0,158518.0,163632.0,156383.0,100560000
2022-06-03,159385.0,161795.0,162056.0,157687.0,97604000
2022-06-06,162564.0,163163.0,168035.0,161287.0,135269000
2022-06-07,160232.0,158942.0,161665.0,157145.0,85156700
2022-06-08,157861.0,159724.0,161209.0,157301.0,64926600
2022-06-09,151309.0,156311.0,158018.0,151243.0,67029800
2022-06-10,142841.0,147752.0,149159.0,142059.0,87266000
2022-06-13,135051.0,135728.0,138790.0,132693.0,99277700
2022-06-14,133279.0,135728.0,136627.0,132133.0,69728800
2022-06-15,140262.0,135298.0,142072.0,134869.0,85011100
2022-06-16,135038.0,136093.0,136236.0,132888.0,82186300
2022-06-17,138373.0,133918.0,139363.0,133540.0,99772100
2022-06-21,141577.0,140952.0,145420.0,134908.0,70901200
2022-06-22,141929.0,139949.0,146072.0,139415.0,60040100
2022-06-23,146476.0,143805.0,147205.0,140600.0,64345300
2022-06-24,151712.0,146397.0,152038.0,145160.0,69867600
2022-06-27,147492.0,152533.0,153693.0,146814.0,62133200
2022-06-28,139910.0,147856.0,149615.0,139441.0,74942900
2022-06-29,141890.0,139884.0,144587.0,139272.0,66375300
2022-06-30,138360.0,140835.0,140926.0,133553.0,97679400
2022-07-01,142724.0,138464.0,142971.0,137891.0,73021200
2022-07-05,147856.0,140171.0,148612.0,138503.0,76583700
2022-07-06,148938.0,147479.0,150436.0,145915.0,66958900
2022-07-07,151543.0,148312.0,152403.0,147843.0,57872300
2022-07-08,150514.0,149289.0,151869.0,148104.0,45719700
2022-07-11,145577.0,148612.0,148899.0,144430.0,53487600
2022-07-12,142281.0,146111.0,147505.0,141135.0,54280300
2022-07-13,143818.0,139428.0,145616.0,138099.0,61353800
2022-07-14,144118.0,143610.0,144834.0,140144.0,51163100
2022-07-15,147922.0,146554.0,150579.0,145368.0,84317800
2022-07-18,148195.0,149810.0,152729.0,147401.0,59115400
2022-07-19,153992.0,150722.0,154956.0,148547.0,60990000
2022-07-20,159932.0,154526.0,160857.0,154135.0,71268300
2022-07-21,162355.0,160493.0,162642.0,157965.0,60239900
2022-07-22,159477.0,162851.0,163489.0,158083.0,51463800
2022-07-25,157809.0,159841.0,161066.0,156363.0,50221300
2022-07-26,149563.0,150840.0,153914.0,149198.0,67075100
2022-07-27,157588.0,152820.0,158799.0,152624.0,61582000
2022-07-28,159294.0,158369.0,160024.0,153823.0,82245500
2022-07-29,175799.0,175734.0,179317.0,172491.0,148892900
2022-08-01,176373.0,175812.0,180854.0,173923.0,76846900
2022-08-02,174770.0,175500.0,179043.0,174679.0,61922400
2022-08-03,181753.0,177441.0,183016.0,177232.0,71827800
2022-08-04,185726.0,183134.0,187016.0,181792.0,70585000
2022-08-05,183420.0,182508.0,186104.0,181857.0,50686900
2022-08-08,181609.0,185049.0,187888.0,180150.0,52229000
2022-08-09,179551.0,179838.0,181010.0,177441.0,40434700
2022-08-10,185882.0,186156.0,188370.0,183694.0,54773800
2022-08-11,183212.0,187406.0,188227.0,182065.0,44867300
2022-08-12,187003.0,185049.0,187029.0,182534.0,47643500
2022-08-15,186521.0,186026.0,187276.0,184319.0,39014600
2022-08-16,188605.0,187472.0,190937.0,184983.0,59102900
