날짜,종가,시가,고가,저가,거래량
2021-12-01,183748.0,187589.0,190130.0,183566.0,34020000
2021-12-02,186242.0,184006.0,187412.0,182657.0,29194000
2021-12-03,184985.0,187173.0,188110.0,182770.0,41230000
2021-12-06,186488.0,186339.0,187397.0,182573.0,30618000
2021-12-07,191848.0,189669.0,192189.0,189188.0,32240000
2021-12-08,193043.0,192274.0,193312.0,190723.0,24270000
2021-12-09,192329.0,192267.0,194233.0,191647.0,23270000
2021-12-10,192802.0,193711.0,194073.0,191111.0,24458000
2021-12-13,189968.0,192515.0,192761.0,189566.0,27070000
2021-12-14,187468.0,187547.0,188214.0,183961.0,38446000
2021-12-15,190769.0,186819.0,191133.0,184564.0,36370000
2021-12-16,188169.0,191719.0,192379.0,187077.0,33650000
2021-12-17,184625.0,185635.0,187373.0,184072.0,50416000
2021-12-20,184471.0,182378.0,184690.0,181493.0,27192000
2021-12-21,186902.0,185053.0,187418.0,183033.0,28756000
2021-12-22,190735.0,186374.0,190846.0,186374.0,26322000
2021-12-23,191388.0,190846.0,193117.0,190783.0,26384000
2021-12-27,192678.0,191830.0,193248.0,191718.0,15976000
2021-12-28,191089.0,193107.0,193189.0,190265.0,18200000
2021-12-29,191047.0,191034.0,192040.0,189735.0,17788000
2021-12-30,190455.0,191098.0,191888.0,190187.0,15688000
2021-12-31,188699.0,190259.0,191104.0,188699.0,18136000
2022-01-03,188880.0,188963.0,190000.0,187215.0,28646000
2022-01-04,188109.0,189407.0,190826.0,187219.0,28400000
2022-01-05,179479.0,188136.0,188239.0,179366.0,54618000
2022-01-06,179444.0,178468.0,182300.0,177895.0,37348000
2022-01-07,178492.0,179962.0,180357.0,176863.0,29760000
2022-01-10,180645.0,175966.0,180840.0,173473.0,44408000
2022-01-11,182034.0,179782.0,182659.0,178069.0,28730000
2022-01-12,184242.0,183876.0,185775.0,183283.0,26108000
2022-01-13,180537.0,184384.0,186091.0,180305.0,31436000
2022-01-14,181701.0,178573.0,183345.0,178468.0,29662000
2022-01-18,177165.0,177395.0,178641.0,176436.0,34872000
2022-01-19,176016.0,177849.0,179720.0,175885.0,28648000
2022-01-20,173660.0,177493.0,179285.0,173213.0,29908000
2022-01-21,169809.0,172730.0,175689.0,169464.0,55652000
2022-01-24,170398.0,164112.0,170918.0,162186.0,76622000
2022-01-25,165358.0,167710.0,168568.0,164792.0,46960000
2022-01-26,168352.0,170809.0,173259.0,165628.0,49130000
2022-01-27,168055.0,171050.0,172806.0,167960.0,31950000
2022-01-28,173716.0,168907.0,173724.0,167377.0,34362000
2022-01-31,176260.0,174773.0,176481.0,172229.0,39986000
2022-02-01,179309.0,179244.0,179503.0,175042.0,68644000
2022-02-02,192800.0,197033.0,197420.0,189572.0,123200000
2022-02-03,186403.0,189811.0,194982.0,185850.0,71518000
2022-02-04,186668.0,186865.0,188729.0,183049.0,57998000
2022-02-07,181337.0,187914.0,187914.0,180945.0,54974000
2022-02-08,181595.0,181110.0,182378.0,178488.0,54284000
2022-02-09,184452.0,183633.0,185667.0,182622.0,40144000
2022-02-10,180580.0,181992.0,184312.0,179717.0,39330000
2022-02-11,174930.0,180554.0,181279.0,173780.0,39958000
2022-02-14,176550.0,173593.0,177558.0,173593.0,34302000
2022-02-15,177960.0,179213.0,179914.0,176935.0,26680000
2022-02-16,179431.0,178009.0,179885.0,175765.0,25022000
2022-02-17,172659.0,177484.0,178618.0,172580.0,38950000
2022-02-18,169876.0,173867.0,174653.0,169607.0,45620000
2022-02-22,169108.0,169140.0,172192.0,167037.0,44990000
2022-02-23,166209.0,171498.0,172023.0,166130.0,32786000
2022-02-24,172857.0,162777.0,173259.0,162777.0,54456000
2022-02-25,175160.0,173978.0,176218.0,171633.0,36406000
2022-02-28,175939.0,173324.0,176843.0,172728.0,38864000
2022-03-01,174642.0,175706.0,177500.0,173544.0,26496000
2022-03-02,175306.0,175380.0,176206.0,173352.0,23520000
2022-03-03,174431.0,177180.0,177740.0,173292.0,24604000
2022-03-04,171835.0,173165.0,174368.0,169791.0,30430000
2022-03-07,164633.0,171289.0,171611.0,164524.0,45112000
2022-03-08,165579.0,164466.0,170979.0,163716.0,40428000
2022-03-09,173806.0,170979.0,174217.0,169221.0,37026000
2022-03-10,172516.0,171000.0,173613.0,170540.0,27102000
2022-03-11,169182.0,173895.0,174295.0,168871.0,31526000
2022-03-14,164076.0,169677.0,169884.0,163196.0,38812000
2022-03-15,168306.0,165412.0,169161.0,163776.0,30920000
2022-03-16,173625.0,170306.0,173693.0,167702.0,35576000
2022-03-17,174352.0,173453.0,174667.0,172197.0,28264000
2022-03-18,177331.0,173812.0,177485.0,172293.0,44566000
2022-03-21,177299.0,177380.0,178535.0,174682.0,26832000
2022-03-22,182206.0,177299.0,183746.0,177299.0,35496000
2022-03-23,180131.0,180688.0,181842.0,179558.0,25154000
2022-03-24,184426.0,181336.0,184487.0,179448.0,26396000
2022-03-25,184557.0,184874.0,185029.0,182036.0,24126000
2022-03-28,184274.0,183551.0,184987.0,182132.0,35050000
2022-03-29,185642.0,185827.0,187320.0,185034.0,34318000
2022-03-30,184903.0,185583.0,185922.0,184462.0,19884000
2022-03-31,181163.0,185052.0,185124.0,181107.0,37524000
2022-04-01,182574.0,181727.0,182992.0,180173.0,25942000
2022-04-04,186249.0,182845.0,187214.0,182782.0,25942000
2022-04-05,183148.0,186115.0,186274.0,182876.0,21418000
2022-04-06,177881.0,180750.0,181545.0,176538.0,32468000
2022-04-07,177022.0,177180.0,178684.0,174858.0,26234000
2022-04-08,173634.0,176625.0,176737.0,173214.0,25142000
2022-04-11,167818.0,171726.0,172077.0,167616.0,36884000
2022-04-12,166374.0,171435.0,171435.0,165168.0,32710000
2022-04-13,169213.0,166746.0,169786.0,166408.0,27928000
2022-04-14,165091.0,169976.0,169976.0,164923.0,31598000
2022-04-18,166324.0,165443.0,167022.0,164377.0,20808000
2022-04-19,169363.0,166344.0,169785.0,165442.0,26490000
2022-04-20,166798.0,170513.0,171173.0,166094.0,31696000
2022-04-21,162596.0,168374.0,169479.0,162221.0,36446000
2022-04-22,155849.0,162838.0,163361.0,154924.0,56884000
2022-04-25,160328.0,155153.0,160594.0,154384.0,46128000
2022-04-26,154565.0,159313.0,159594.0,154384.0,73054000
2022-04-27,148891.0,149119.0,152731.0,146862.0,91820000
2022-04-28,154399.0,151654.0,155867.0,148658.0,48884000
2022-04-29,148650.0,152070.0,153614.0,148266.0,42676000
2022-05-02,151873.0,147733.0,152084.0,146684.0,35534000
2022-05-03,152851.0,151674.0,154294.0,151158.0,24968000
2022-05-04,159269.0,152457.0,160043.0,149962.0,49916000
2022-05-05,151772.0,156590.0,157678.0,149818.0,45840000
2022-05-06,150783.0,150051.0,153160.0,148528.0,39710000
2022-05-09,146568.0,147531.0,149911.0,145903.0,40802000
2022-05-10,149022.0,150472.0,151439.0,147075.0,39900000
2022-05-11,147990.0,147513.0,151588.0,147513.0,37534000
2022-05-12,147002.0,145091.0,148892.0,143068.0,53836000
2022-05-13,151179.0,149202.0,153556.0,147993.0,35038000
2022-05-16,149088.0,149753.0,151335.0,148364.0,25990000
2022-05-17,151729.0,152208.0,152286.0,149641.0,23054000
2022-05-18,145771.0,149810.0,150332.0,145323.0,35126000
2022-05-19,143797.0,145162.0,147218.0,143297.0,34144000
2022-05-20,141874.0,145839.0,146141.0,137821.0,48962000
2022-05-23,145235.0,142760.0,146095.0,141657.0,37184000
2022-05-24,138047.0,137789.0,138683.0,132725.0,76780000
2022-05-25,137832.0,136765.0,138738.0,135294.0,40258000
2022-05-26,140421.0,137665.0,141538.0,137077.0,37948000
2022-05-27,146315.0,142624.0,146317.0,142175.0,37914000
2022-05-31,148198.0,146875.0,150768.0,146005.0,50012000
2022-06-01,148367.0,149622.0,152548.0,147531.0,36606000
2022-06-02,153227.0,148508.0,153588.0,147135.0,37992000
2022-06-03,149213.0,151195.0,151532.0,147881.0,26136000
2022-06-06,152182.0,152031.0,155473.0,151327.0,33542000
2022-06-07,152611.0,150436.0,153316.0,149878.0,31590000
2022-06-08,152669.0,152105.0,154462.0,151895.0,26108000
