날짜,종가,시가,고가,저가,거래량
2021-12-01,404619.0,430269.0,430542.0,404215.0,30329600
2021-12-02,404345.0,405661.0,409829.0,400189.0,24396200
2021-12-03,399720.0,408696.0,408722.0,390159.0,27471000
2021-12-06,414089.0,401401.0,416994.0,399069.0,21758300
2021-12-07,420525.0,418909.0,425384.0,418167.0,18794000
2021-12-08,430621.0,423378.0,433473.0,420863.0,19937700
2021-12-09,429657.0,429292.0,437877.0,427286.0,16879200
2021-12-10,429565.0,433226.0,436444.0,425162.0,14528000
2021-12-13,435740.0,431129.0,444338.0,429357.0,22948700
2021-12-14,434763.0,427351.0,437316.0,426830.0,20461000
2021-12-15,445080.0,433135.0,445667.0,422049.0,24681300
2021-12-16,436274.0,441589.0,448728.0,434763.0,22635000
2021-12-17,434828.0,433539.0,439153.0,430868.0,40012600
2021-12-20,423964.0,429604.0,429761.0,420160.0,17901800
2021-12-21,435362.0,425214.0,437707.0,421749.0,16116800
2021-12-22,430477.0,434841.0,435766.0,427624.0,16764600
2021-12-23,436717.0,430021.0,438580.0,427755.0,13987700
2021-12-27,450969.0,441420.0,453170.0,440326.0,17795000
2021-12-28,451021.0,451555.0,459475.0,449692.0,16637600
2021-12-29,446748.0,451920.0,455541.0,445054.0,10747000
2021-12-30,448598.0,448129.0,452337.0,447113.0,10593300
2021-12-31,438163.0,446852.0,447399.0,438059.0,12870500
2022-01-03,441016.0,440703.0,444325.0,439257.0,14537900
2022-01-04,438398.0,442853.0,446943.0,432327.0,15998000
2022-01-05,422296.0,433825.0,437395.0,421866.0,20564500
2022-01-06,433096.0,420538.0,441837.0,420407.0,27962800
2022-01-07,432223.0,433460.0,439010.0,428432.0,14722000
2022-01-10,427377.0,423781.0,427729.0,410911.0,24942400
2022-01-11,435584.0,425696.0,435923.0,423742.0,16226800
2022-01-12,434138.0,436639.0,438189.0,429930.0,14104900
2022-01-13,425306.0,436378.0,437225.0,424368.0,14797100
2022-01-14,432366.0,419196.0,433447.0,418440.0,16868500
2022-01-18,414454.0,421150.0,422348.0,413790.0,22645600
2022-01-19,416330.0,416317.0,426113.0,415991.0,20814700
2022-01-20,412383.0,421945.0,427051.0,411627.0,16925000
2022-01-21,394940.0,410103.0,414662.0,394770.0,28710700
2022-01-24,402157.0,387996.0,403225.0,376493.0,38878100
2022-01-25,391005.0,390745.0,398926.0,387657.0,25108500
2022-01-26,383815.0,399942.0,400593.0,378890.0,28348800
2022-01-27,383828.0,387879.0,393038.0,383333.0,21629900
2022-01-28,393038.0,385104.0,393285.0,381730.0,21871600
2022-01-31,408084.0,391696.0,408774.0,389924.0,21579500
2022-02-01,415561.0,409777.0,416421.0,406599.0,18023800
2022-02-02,420772.0,427051.0,427286.0,412787.0,58458300
2022-02-03,309730.0,318706.0,323070.0,307112.0,188119900
2022-02-04,308857.0,306095.0,316048.0,299764.0,89342200
2022-02-07,292990.0,309652.0,310433.0,291818.0,88613800
2022-02-08,286828.0,287701.0,294111.0,281579.0,94729700
2022-02-09,302226.0,292065.0,304011.0,289473.0,86563300
2022-02-10,297107.0,297367.0,306134.0,295322.0,49310400
2022-02-11,286008.0,297615.0,300168.0,284992.0,46156900
2022-02-14,283598.0,285695.0,287897.0,279794.0,38184000
2022-02-15,287897.0,287206.0,288092.0,280159.0,42685500
2022-02-16,282087.0,276707.0,283285.0,276641.0,45817500
2022-02-17,270584.0,278804.0,283337.0,269867.0,38747500
2022-02-18,268565.0,272772.0,274544.0,267288.0,37128400
2022-02-22,263250.0,263588.0,270284.0,260618.0,39852400
2022-02-23,258521.0,265959.0,269581.0,258000.0,44481400
2022-02-24,270441.0,248894.0,271418.0,247800.0,49957200
2022-02-25,274192.0,266975.0,275287.0,264683.0,37627600
2022-02-28,274909.0,270545.0,277670.0,269437.0,34239800
2022-03-01,265086.0,273398.0,275847.0,263432.0,27094900
2022-03-02,271105.0,266767.0,272460.0,263171.0,29452100
2022-03-03,264409.0,272290.0,272369.0,262390.0,27263500
2022-03-04,260618.0,263627.0,268213.0,258964.0,32130900
2022-03-07,244217.0,261569.0,261699.0,243970.0,38560600
2022-03-08,247891.0,244712.0,256241.0,242445.0,37508100
2022-03-09,258586.0,254991.0,259368.0,252620.0,31894700
2022-03-10,254300.0,253818.0,255694.0,248907.0,24853000
2022-03-11,244400.0,250952.0,252151.0,243175.0,34694500
2022-03-14,243123.0,243644.0,250496.0,242068.0,31010500
2022-03-15,250157.0,248555.0,250483.0,242185.0,31721700
2022-03-16,265269.0,253636.0,265399.0,253401.0,40640300
2022-03-17,270753.0,262755.0,271014.0,261986.0,29499700
2022-03-18,282022.0,269268.0,282425.0,268356.0,52128000
2022-03-21,275508.0,279429.0,279703.0,270480.0,30142300
2022-03-22,282230.0,275352.0,285891.0,273801.0,31998800
2022-03-23,278074.0,277905.0,282425.0,276381.0,23717300
2022-03-24,286034.0,280080.0,287467.0,279807.0,31502300
2022-03-25,288965.0,287258.0,293759.0,285148.0,40039000
