날짜,종가,시가,고가,저가,거래량
2020-01-02,97914.0,96574.0,97996.0,96232.0,135480400
2020-01-03,96962.0,96871.0,97989.0,96659.0,146322800
2020-01-06,97735.0,95776.0,97787.0,95436.0,118387200
2020-01-07,97275.0,97748.0,98093.0,96978.0,108872000
2020-01-08,98840.0,96874.0,99247.0,96874.0,132079200
2020-01-09,100939.0,100160.0,101200.0,99821.0,170108400
2020-01-10,101168.0,101256.0,101930.0,100490.0,140644800
2020-01-13,103329.0,101595.0,103365.0,101435.0,121532000
2020-01-14,101934.0,103244.0,103528.0,101767.0,161954400
2020-01-15,101497.0,101663.0,102853.0,100913.0,121923600
2020-01-16,102768.0,102230.0,102918.0,101741.0,108829200
2020-01-17,103906.0,103104.0,103909.0,102690.0,137816400
2020-01-21,103202.0,103404.0,104001.0,103016.0,110843200
2020-01-22,103570.0,103857.0,104317.0,103443.0,101832400
2020-01-23,104069.0,103642.0,104177.0,102902.0,104472000
2020-01-24,103769.0,104402.0,105406.0,103512.0,146537600
2020-01-27,100718.0,101080.0,101637.0,99391.0,161940000
2020-01-28,103567.0,101908.0,103798.0,101774.0,162234000
2020-01-29,105735.0,105771.0,106879.0,104770.0,216229200
2020-01-30,105582.0,104496.0,105653.0,103912.0,126743200
2020-01-31,100900.0,104623.0,105194.0,100503.0,199588400
2020-02-03,100623.0,99202.0,102198.0,98524.0,173788400
2020-02-04,103945.0,102791.0,104203.0,102243.0,136616400
2020-02-05,104793.0,105468.0,105872.0,103978.0,118826800
2020-02-06,106018.0,105158.0,106022.0,104405.0,105425600
2020-02-07,104330.0,105093.0,105428.0,103668.0,117684000
2020-02-10,104825.0,102423.0,104825.0,102315.0,109348800
2020-02-11,104193.0,105494.0,105591.0,103899.0,94323200
2020-02-12,106667.0,104799.0,106674.0,104799.0,113730400
2020-02-13,105908.0,105686.0,106348.0,105412.0,94747600
2020-02-14,105934.0,105865.0,106269.0,105249.0,80113600
2020-02-18,103994.0,102807.0,104238.0,102563.0,152531200
2020-02-19,105500.0,104320.0,105810.0,104320.0,93984000
2020-02-20,104418.0,105177.0,105836.0,103736.0,100566000
2020-02-21,102054.0,103870.0,104467.0,101223.0,129554000
2020-02-24,97207.0,96907.0,99163.0,94289.0,222195200
2020-02-25,93914.0,98110.0,98625.0,93278.0,230673600
2020-02-26,95404.0,93409.0,97109.0,93399.0,198054800
2020-02-27,89168.0,91639.0,93236.0,88985.0,320605600
2020-02-28,89115.0,83867.0,90762.0,83577.0,426510000
2020-03-02,97412.0,92023.0,98269.0,90537.0,341397200
2020-03-03,94318.0,98996.0,99104.0,93171.0,319475600
2020-03-04,98693.0,96639.0,98908.0,95560.0,219178400
2020-03-05,95492.0,96340.0,97653.0,95000.0,187572800
2020-03-06,94224.0,91932.0,94807.0,91681.0,226176800
2020-03-09,86771.0,85982.0,90657.0,85738.0,286744800
2020-03-10,93021.0,90348.0,93379.0,87815.0,285290000
2020-03-11,89790.0,90429.0,91678.0,88626.0,255598800
2020-03-12,80923.0,83436.0,88020.0,80848.0,418474000
2020-03-13,90618.0,86354.0,91254.0,82462.0,370732000
2020-03-16,78960.0,78876.0,84460.0,78240.0,322423600
2020-03-17,82432.0,80688.0,83981.0,77718.0,324056000
2020-03-18,80414.0,78165.0,81500.0,77301.0,300233600
2020-03-19,79798.0,80649.0,82426.0,79091.0,271857200
2020-03-20,74732.0,80581.0,82097.0,74328.0,401693200
2020-03-23,73145.0,74354.0,74491.0,69311.0,336752800
