날짜,종가,시가,고가,저가,거래량
2020-01-02,89238.0,87916.0,89238.0,87791.0,27278000
2020-01-03,88771.0,87890.0,89568.0,87845.0,23408000
2020-01-06,91137.0,88126.0,91170.0,88085.0,46768000
2020-01-07,90961.0,91310.0,91508.0,90730.0,34330000
2020-01-08,91609.0,90942.0,92053.0,90799.0,35314000
2020-01-09,92570.0,92710.0,93150.0,91946.0,33200000
2020-01-10,93168.0,93201.0,93558.0,92558.0,26258000
2020-01-13,93890.0,93578.0,93984.0,92934.0,30730000
2020-01-14,93274.0,93888.0,94059.0,93091.0,26076000
2020-01-15,93836.0,93433.0,93939.0,93344.0,21550000
2020-01-16,94550.0,94243.0,94586.0,93888.0,26080000
2020-01-17,96465.0,95358.0,96532.0,94967.0,52424000
2020-01-21,96643.0,96431.0,97140.0,95858.0,48930000
2020-01-22,96748.0,97130.0,97838.0,96669.0,28458000
2020-01-23,96802.0,96988.0,97376.0,96517.0,26650000
2020-01-24,95594.0,97332.0,97422.0,95399.0,29786000
2020-01-27,93349.0,93336.0,93665.0,92551.0,34132000
2020-01-28,94573.0,94001.0,94853.0,93259.0,29724000
2020-01-29,94977.0,95092.0,95462.0,94239.0,21566000
2020-01-30,94817.0,93764.0,94882.0,93562.0,27110000
2020-01-31,93417.0,95704.0,95822.0,93044.0,43822000
2020-02-03,96666.0,95300.0,96907.0,94971.0,71636000
2020-02-04,94241.0,94833.0,95671.0,92716.0,95880000
2020-02-05,94282.0,95427.0,95491.0,93215.0,36376000
2020-02-06,96233.0,94669.0,96598.0,94571.0,37822000
2020-02-07,96438.0,95674.0,96838.0,95545.0,28360000
2020-02-10,98365.0,96315.0,98379.0,96183.0,38302000
2020-02-11,98456.0,98665.0,99748.0,98155.0,34852000
2020-02-12,99015.0,98834.0,99124.0,98365.0,31042000
2020-02-13,98673.0,98452.0,99492.0,98061.0,22914000
2020-02-14,99021.0,98747.0,99107.0,98162.0,23198000
2020-02-18,99067.0,98735.0,99793.0,98518.0,25642000
2020-02-19,99422.0,99573.0,99804.0,99168.0,22746000
2020-02-20,98908.0,99039.0,99565.0,98078.0,25962000
2020-02-21,96722.0,98099.0,98514.0,96398.0,42520000
2020-02-24,92575.0,92783.0,93652.0,91723.0,49560000
2020-02-25,90388.0,93301.0,93683.0,90003.0,51580000
2020-02-26,90659.0,90953.0,92171.0,89751.0,49776000
2020-02-27,85735.0,88616.0,89285.0,85688.0,62290000
