날짜,종가,시가,고가,저가,거래량
2021-12-01,214646.0,218176.0,221850.0,214333.0,152052500
2021-12-02,213330.0,206791.0,213903.0,205566.0,136739200
2021-12-03,210829.0,213669.0,214893.0,208067.0,118023100
2021-12-06,215362.0,214021.0,218697.0,214008.0,107497000
2021-12-07,222996.0,220261.0,223517.0,219297.0,120405400
2021-12-08,228077.0,224234.0,229223.0,222371.0,116998900
2021-12-09,227399.0,227855.0,230252.0,226566.0,108923700
2021-12-10,233770.0,228246.0,234004.0,227569.0,115402700
2021-12-13,228937.0,235945.0,237261.0,228663.0,153237000
2021-12-14,227100.0,228298.0,231542.0,224338.0,139380400
2021-12-15,233574.0,228116.0,233835.0,224468.0,131063300
2021-12-16,224403.0,233548.0,235971.0,222436.0,150185800
2021-12-17,222944.0,221368.0,225979.0,221055.0,195432700
2021-12-20,221133.0,219218.0,222215.0,218150.0,107499100
2021-12-21,225354.0,223491.0,225628.0,220313.0,91185900
2021-12-22,228806.0,225419.0,229093.0,224260.0,92135300
2021-12-23,229640.0,229080.0,230383.0,228324.0,68356600
2021-12-27,234916.0,230695.0,235033.0,230669.0,74919600
2021-12-28,233561.0,234694.0,236219.0,232571.0,79144300
2021-12-29,233678.0,233613.0,235307.0,232063.0,62348900
2021-12-30,232141.0,233796.0,235229.0,231998.0,59773000
2021-12-31,231320.0,231998.0,233483.0,230917.0,64062300
2022-01-03,237104.0,231659.0,238238.0,231503.0,104487900
2022-01-04,234095.0,237912.0,238316.0,233340.0,99310400
2022-01-05,227868.0,233978.0,234707.0,227504.0,94537600
2022-01-06,224064.0,224976.0,228363.0,223595.0,96904000
2022-01-07,224286.0,225224.0,226852.0,222801.0,86709100
2022-01-10,224312.0,220261.0,224716.0,219075.0,106765600
2022-01-11,228077.0,224481.0,228207.0,222527.0,76138300
2022-01-12,228663.0,229432.0,230812.0,227738.0,74805200
2022-01-13,224312.0,228989.0,230083.0,223791.0,84505800
2022-01-14,225458.0,223205.0,226383.0,222879.0,80440800
2022-01-18,221198.0,223426.0,224768.0,220690.0,90956700
2022-01-19,216548.0,221459.0,222866.0,216170.0,94815000
2022-01-20,214307.0,217525.0,221042.0,213877.0,91420500
2022-01-21,211572.0,214190.0,216678.0,211428.0,122848900
2022-01-24,210542.0,208458.0,211428.0,201528.0,162294600
2022-01-25,208145.0,207103.0,212027.0,204550.0,115798400
2022-01-26,208028.0,212991.0,214151.0,205592.0,108275300
2022-01-27,207416.0,211624.0,213434.0,206191.0,121954600
2022-01-28,221889.0,215870.0,221915.0,212080.0,179935700
2022-01-31,227686.0,221667.0,227972.0,220821.0,115541600
2022-02-01,227464.0,226683.0,227764.0,224468.0,86213900
2022-02-02,229067.0,227647.0,229119.0,225797.0,84914300
2022-02-03,225237.0,227295.0,229588.0,224221.0,89418100
2022-02-04,224572.0,223648.0,226800.0,222345.0,82465400
2022-02-07,223621.0,225185.0,226605.0,222697.0,77251200
2022-02-08,227751.0,223713.0,228428.0,223322.0,74829200
2022-02-09,229640.0,229340.0,230122.0,227842.0,71285000
2022-02-10,224221.0,226852.0,228598.0,223478.0,90865900
2022-02-11,219687.0,224494.0,225471.0,218906.0,98670700
2022-02-14,220000.0,218033.0,220912.0,216978.0,86185500
2022-02-15,225094.0,222723.0,225302.0,221785.0,62527400
2022-02-16,224781.0,223869.0,225810.0,221524.0,61177400
2022-02-17,220000.0,222801.0,223947.0,219466.0,69589300
2022-02-18,217942.0,221225.0,222162.0,216496.0,82772700
2022-02-22,214060.0,214919.0,217147.0,211233.0,91162800
2022-02-23,208523.0,215649.0,216444.0,208106.0,90009200
2022-02-24,212001.0,198766.0,212145.0,198010.0,141147500
2022-02-25,214750.0,213434.0,215102.0,209565.0,91974200
2022-02-28,215102.0,212418.0,215493.0,211598.0,95056600
2022-03-01,212601.0,214555.0,217030.0,210998.0,83474400
2022-03-02,216978.0,214151.0,218020.0,212275.0,79724800
2022-03-03,216548.0,219466.0,220039.0,215662.0,76678400
2022-03-04,212562.0,214281.0,215662.0,211168.0,83737200
2022-03-07,207520.0,212809.0,214972.0,207181.0,96418800
2022-03-08,205097.0,206895.0,212184.0,202961.0,131148300
2022-03-09,212275.0,210360.0,212874.0,207663.0,91454900
2022-03-10,206504.0,208693.0,208940.0,203195.0,105342000
2022-03-11,201567.0,207038.0,207494.0,201267.0,96970100
2022-03-14,196213.0,197294.0,200772.0,195535.0,108732100
2022-03-15,202036.0,196577.0,202661.0,195900.0,92964300
2022-03-16,207898.0,204589.0,208432.0,201215.0,102300200
2022-03-17,209240.0,206621.0,209735.0,205345.0,75615400
2022-03-18,213617.0,209096.0,214268.0,208119.0,123511700
2022-03-21,215441.0,213004.0,216704.0,212353.0,95811400
2022-03-22,219922.0,215610.0,220703.0,214828.0,81532000
2022-03-23,221733.0,218841.0,224898.0,218398.0,98062700
2022-03-24,226761.0,222840.0,226852.0,221733.0,90131400
2022-03-25,227608.0,226513.0,228337.0,225041.0,80546200
2022-03-28,228754.0,224286.0,228923.0,224064.0,90371900
2022-03-29,233131.0,230174.0,233196.0,229718.0,100589400
2022-03-30,231581.0,232597.0,233978.0,230187.0,92633200
2022-03-31,227464.0,231672.0,231920.0,227191.0,103049300
2022-04-01,227074.0,226709.0,227816.0,223986.0,78751300
2022-04-04,232454.0,227412.0,232519.0,227243.0,76468400
2022-04-05,228051.0,231229.0,232271.0,227217.0,73401800
2022-04-06,223843.0,224533.0,226188.0,221628.0,89058800
2022-04-07,224247.0,222970.0,225836.0,221264.0,77594700
2022-04-08,221576.0,223778.0,223778.0,220417.0,76575500
2022-04-11,215923.0,219779.0,220195.0,215597.0,72246700
2022-04-12,218411.0,218880.0,221290.0,217082.0,79265200
2022-04-13,221980.0,218059.0,222814.0,217251.0,70618900
2022-04-14,215323.0,222267.0,223113.0,214998.0,75329400
2022-04-18,215037.0,213539.0,217030.0,213083.0,69023900
2022-04-19,218072.0,214972.0,218619.0,213526.0,67723800
2022-04-20,217851.0,219844.0,220000.0,216378.0,67929800
2022-04-21,216795.0,220039.0,223452.0,216131.0,87227800
2022-04-22,210764.0,216847.0,218684.0,210386.0,84882400
2022-04-25,212184.0,209891.0,212562.0,206426.0,96046400
2022-04-26,204263.0,211363.0,211480.0,204159.0,95623200
2022-04-27,203964.0,203104.0,208158.0,202414.0,88063200
2022-04-28,213174.0,207455.0,214320.0,207038.0,130216800
2022-04-29,205371.0,210829.0,216509.0,204850.0,131747600
2022-05-02,205775.0,204146.0,206126.0,199665.0,123055300
2022-05-03,207755.0,206022.0,209357.0,203638.0,88966500
2022-05-04,216274.0,208002.0,216873.0,207468.0,108256500
2022-05-05,204224.0,213447.0,213747.0,201853.0,130525300
2022-05-06,204889.0,203234.0,207702.0,200850.0,116124600
2022-05-09,198089.0,201827.0,203000.0,197346.0,131577900
2022-05-10,201280.0,202596.0,204185.0,199222.0,115366700
2022-05-11,190846.0,199964.0,202505.0,189947.0,142689800
2022-05-12,185713.0,185986.0,190455.0,180815.0,182602000
2022-05-13,191640.0,188357.0,192930.0,186429.0,113990900
2022-05-16,189595.0,189608.0,192174.0,187823.0,86643800
2022-05-17,194415.0,193920.0,195105.0,191080.0,78336300
2022-05-18,183446.0,191302.0,191966.0,182248.0,109742900
2022-05-19,178926.0,182222.0,184540.0,177949.0,136095600
2022-05-20,179238.0,181193.0,183290.0,172751.0,137426100
2022-05-23,186429.0,179499.0,186625.0,179317.0,117726300
2022-05-24,182847.0,183433.0,184944.0,178900.0,104132700
2022-05-25,183055.0,180333.0,184710.0,180216.0,92482700
2022-05-26,187302.0,178978.0,188032.0,178652.0,90601500
2022-05-27,194936.0,189400.0,194988.0,189230.0,90978500
2022-05-31,193894.0,194193.0,196265.0,191288.0,103718400
2022-06-01,193725.0,195275.0,197672.0,192383.0,74286600
2022-06-02,196981.0,192578.0,197059.0,191315.0,72348100
2022-06-03,189387.0,191367.0,192761.0,188188.0,88570300
2022-06-06,190377.0,191536.0,193542.0,188761.0,71598400
2022-06-07,193725.0,188045.0,194102.0,187719.0,67808200
2022-06-08,192748.0,193555.0,195236.0,192096.0,53950200
2022-06-09,185817.0,191601.0,192734.0,185674.0,69473000
2022-06-10,178639.0,182743.0,183368.0,178548.0,91437900
2022-06-13,171800.0,173090.0,176125.0,171227.0,122207100
2022-06-14,172946.0,173428.0,174419.0,171279.0,84784300
2022-06-15,176425.0,174940.0,178913.0,172165.0,91533000
2022-06-16,169429.0,172061.0,172464.0,168100.0,108123900
2022-06-17,171383.0,169442.0,173363.0,169103.0,134520300
2022-06-21,176998.0,173806.0,178548.0,173676.0,81000500
2022-06-22,176320.0,175591.0,179460.0,174445.0,73409200
2022-06-23,180124.0,178235.0,180541.0,176685.0,72433800
2022-06-24,184540.0,182248.0,184866.0,182078.0,89116800
2022-06-27,184540.0,185895.0,186924.0,183642.0,70207900
2022-06-28,179043.0,185153.0,186833.0,178887.0,67083400
2022-06-29,181375.0,179069.0,183251.0,178040.0,66242400
2022-06-30,178105.0,178796.0,180255.0,174262.0,98964500
2022-07-01,180984.0,177219.0,181127.0,176724.0,71051600
2022-07-05,184410.0,179473.0,184475.0,178379.0,73353800
2022-07-06,186182.0,184137.0,187745.0,183785.0,74064300
2022-07-07,190650.0,186664.0,190911.0,186651.0,66253700
2022-07-08,191549.0,189230.0,192213.0,188892.0,64547800
2022-07-11,188722.0,189764.0,191028.0,187302.0,63141600
2022-07-12,190012.0,189882.0,193386.0,188957.0,77588800
2022-07-13,189530.0,186273.0,190780.0,185140.0,71185600
2022-07-14,193412.0,187693.0,194037.0,186612.0,78140700
2022-07-15,195626.0,195118.0,196525.0,193060.0,76259900
2022-07-18,191588.0,196369.0,197450.0,191106.0,81420900
2022-07-19,196708.0,192695.0,197007.0,191380.0,82982400
2022-07-20,199365.0,196864.0,200251.0,195887.0,64823400
2022-07-21,202374.0,201267.0,202661.0,197932.0,65086600
2022-07-22,200733.0,202427.0,203586.0,199847.0,66675400
2022-07-25,199248.0,200629.0,201971.0,198375.0,53623900
2022-07-26,197489.0,198349.0,199430.0,196447.0,55138700
2022-07-27,204250.0,198766.0,204954.0,198219.0,78620700
2022-07-28,204980.0,204498.0,205358.0,201150.0,81378700
2022-07-29,211702.0,210047.0,213161.0,207781.0,101786900
2022-08-01,210399.0,209748.0,213109.0,209591.0,67829400
2022-08-02,208445.0,208562.0,211572.0,207950.0,59907000
2022-08-03,216418.0,209526.0,217017.0,209409.0,82507500
2022-08-04,216001.0,216261.0,217798.0,214203.0,55474100
2022-08-05,215401.0,212614.0,216053.0,212340.0,56697000
2022-08-08,214776.0,216730.0,218606.0,213903.0,60276900
