날짜,종가,시가,고가,저가,거래량
2021-12-01,804769.0,846078.0,852643.0,803857.0,3882800
2021-12-02,803075.0,803896.0,814656.0,798399.0,3331100
2021-12-03,784395.0,811256.0,814839.0,773804.0,4829300
2021-12-06,798151.0,789449.0,804144.0,782923.0,3075700
2021-12-07,814943.0,807453.0,819255.0,796471.0,3125200
2021-12-08,818200.0,820701.0,823906.0,811843.0,2220300
2021-12-09,795950.0,817548.0,821014.0,795220.0,2376300
2021-12-10,796809.0,803479.0,804730.0,789280.0,2748800
2021-12-13,787560.0,797252.0,798086.0,780995.0,2517900
2021-12-14,779002.0,779940.0,784603.0,766157.0,2984500
2021-12-15,788186.0,779249.0,789032.0,761441.0,2866200
2021-12-16,769974.0,777829.0,785307.0,765988.0,3143200
2021-12-17,764333.0,770690.0,772827.0,757833.0,4386900
2021-12-20,773465.0,763942.0,785372.0,761116.0,3358400
2021-12-21,788029.0,778415.0,791807.0,773621.0,2319400
2021-12-22,800170.0,785997.0,800926.0,785046.0,2335700
2021-12-23,799975.0,802984.0,803610.0,791481.0,1621100
2021-12-27,798711.0,801160.0,801160.0,793670.0,2061500
2021-12-28,795572.0,801095.0,805603.0,794243.0,1882800
2021-12-29,795350.0,795572.0,799832.0,787717.0,1287200
2021-12-30,797370.0,798542.0,808469.0,796262.0,1625100
2021-12-31,784799.0,794660.0,799962.0,784291.0,1995900
2022-01-03,778194.0,788928.0,794634.0,769323.0,3067500
2022-01-04,770091.0,781503.0,782154.0,757650.0,4393100
2022-01-05,739308.0,771198.0,772293.0,738475.0,4148700
2022-01-06,720771.0,722139.0,733889.0,706076.0,5711800
2022-01-07,704839.0,715782.0,720953.0,701139.0,3382900
2022-01-10,703263.0,701491.0,708265.0,685637.0,4486100
2022-01-11,704552.0,699537.0,708552.0,690522.0,3077800
2022-01-12,699836.0,709021.0,709021.0,693062.0,3787400
2022-01-13,676362.0,699628.0,704487.0,675137.0,4475100
2022-01-14,684816.0,674277.0,701335.0,666826.0,7861100
2022-01-18,665419.0,677508.0,679684.0,662657.0,4839100
2022-01-19,672011.0,670890.0,681586.0,665041.0,4353500
2022-01-20,662097.0,674473.0,686054.0,660378.0,12659000
2022-01-21,517823.0,521640.0,533000.0,495013.0,58904300
2022-01-24,504340.0,500120.0,504484.0,457847.0,32346000
2022-01-25,477335.0,493906.0,505070.0,475655.0,15145800
2022-01-26,468581.0,492772.0,498491.0,464569.0,12684000
2022-01-27,503754.0,497710.0,514306.0,492551.0,24324700
2022-01-28,500706.0,503832.0,504145.0,484709.0,11966600
2022-01-31,556435.0,523646.0,557165.0,518735.0,20047500
2022-02-01,595503.0,564017.0,597262.0,554351.0,22568100
2022-02-02,559484.0,583935.0,588794.0,555576.0,14346000
2022-02-03,528375.0,549010.0,559197.0,526656.0,9905200
2022-02-04,534328.0,530603.0,537715.0,516703.0,7789800
2022-02-07,523816.0,534328.0,537168.0,512678.0,8232900
2022-02-08,525679.0,518709.0,529691.0,515648.0,6818500
2022-02-09,537872.0,532348.0,537989.0,519504.0,7738200
2022-02-10,529248.0,523816.0,531502.0,516338.0,8452900
2022-02-11,509760.0,528023.0,536204.0,504992.0,7558900
2022-02-14,516612.0,504913.0,533273.0,504002.0,7202200
2022-02-15,530798.0,526017.0,533013.0,522396.0,5392300
2022-02-16,518579.0,523073.0,523112.0,508548.0,5277700
2022-02-17,503715.0,513576.0,519921.0,502451.0,4669200
2022-02-18,509733.0,511349.0,524819.0,506815.0,6801700
